SL. NO.,ADDRESS,COUNTRY,STATE,CITY,TIMEZONE,ping_delay_time,last_router_delay,traceroute_steps,traceroute_time,total_delay,minimum_rtt,maximum_rtt,average_rtt,time_to_live,latitude,longitude
1,117.242.89.241,India,Kerala,Kochi,Asia/Calcutta,61.682,2.451,7.0,20.285,33.127,26.125,44.067,33.732,111.0,9.9312,76.2673
2,117.205.38.86,India,Karnataka,Dhuri,Asia/Calcutta,63.142,4.081,7.0,21.018,36.197,32.893,42.254,38.766,68.0,30.4833,75.85
3,117.233.100.202,India,Maharashtra,Pune,Asia/Calcutta,68.942,9.528,7.0,25.667,40.671,34.88,46.678,39.004,64.0,18.5204,73.8567
4,59.98.116.26,India,Tamil Nadu,Ahmednagar,Asia/Calcutta,59.81,1.602,6.0,17.834,28.544,24.954,42.194,34.249,70.0,19.0968,74.7382
5,59.98.63.136,India,Tamil Nadu,Dindigul,Asia/Calcutta,61.086,2.051,8.0,19.058,31.494,25.196,41.133,32.988,86.0,10.3647,77.9807
6,117.205.125.189,India,Tamil Nadu,Thanjavur,Asia/Calcutta,60.845,1.814,7.0,17.765,35.582,31.049,49.153,39.893,113.0,10.7905,79.155
7,117.216.102.59,India,Tamil Nadu,Coimbatore,Asia/Calcutta,63.571,5.333,8.0,22.43,36.324,29.869,43.599,36.909,79.0,11.0168,76.9558
8,59.88.71.173,India,Kerala,Kochi,Asia/Calcutta,61.392,2.303,7.0,18.367,32.95,29.754,41.747,36.226,101.0,9.9231,76.2635
9,117.214.35.126,India,Jharkhand,Jamshedpur,Asia/Calcutta,60.858,2.646,8.0,19.672,34.127,27.601,39.867,33.808,98.0,22.8046,86.2029
10,59.91.106.225,India,National Capital Territory of Delhi,New Delhi,Asia/Calcutta,63.609,5.376,8.0,22.245,33.861,30.489,46.157,39.725,83.0,28.6139,77.209
11,61.0.49.135,India,Haryana,Ambala,Asia/Calcutta,60.392,2.226,7.0,19.13,30.393,24.319,42.991,35.081,85.0,30.3784,76.7793
12,59.89.142.54,India,Uttar Pradesh,Kanpur,Asia/Calcutta,60.707,1.679,9.0,18.167,34.991,30.901,48.83,39.914,122.0,26.4499,80.3319
13,117.246.207.178,India,Telangana,Hyderabad,Asia/Calcutta,62.539,4.089,10.0,20.126,38.73,32.848,49.414,40.049,71.0,13.8621,81.9592
14,117.195.118.236,India,West Bengal,Kolkata,Asia/Calcutta,61.562,3.206,11.0,19.19,34.046,26.627,42.133,32.949,59.0,22.5726,88.3639
15,59.96.206.127,India,Maharashtra,Malappuram,Asia/Calcutta,61.687,2.618,11.0,18.53,33.218,28.578,46.374,38.89,94.0,11.1,76.0833
16,117.224.68.147,India,Haryana,Mahendragarh,Asia/Calcutta,63.759,7.034,9.0,21.202,38.374,30.619,51.925,40.322,106.0,28.3833,76.1333
17,117.234.118.235,India,Punjab,Bhadohi,Asia/Calcutta,60.555,2.492,9.0,18.266,29.721,22.437,44.033,31.252,117.0,25.395,82.5667
18,59.89.51.203,India,Punjab,Sangrur,Asia/Calcutta,61.921,2.562,18.0,17.921,30.864,26.927,38.55,32.778,58.0,30.2322,75.8361
19,59.94.184.128,India,Kerala,Kochi,Asia/Calcutta,48.179,24.653,14.0,6.026,33.141,28.287,43.409,35.333,111.0,9.9101,76.2819
20,117.237.230.55,India,Meghalaya,Shillong,Asia/Calcutta,60.211,1.741,14.0,18.85,31.502,25.584,45.586,33.596,62.0,25.5788,91.8933
21,117.237.230.4,India,Meghalaya,Shillong,Asia/Calcutta,62.311,2.964,16.0,20.306,37.785,34.208,45.216,40.996,69.0,25.5821,91.9093
22,117.237.230.223,India,Meghalaya,Shillong,Asia/Calcutta,61.195,1.937,15.0,19.582,32.091,27.607,38.347,33.699,81.0,25.566,91.9191
23,117.237.230.210,India,Meghalaya,Shillong,Asia/Calcutta,67.283,3.602,14.0,20.747,39.37,31.556,50.691,39.733,77.0,25.5543,91.8886
24,117.237.230.242,India,Meghalaya,Shillong,Asia/Calcutta,60.354,1.841,4.0,19.438,35.33,31.463,41.672,37.085,99.0,25.515,91.8998
25,117.194.198.36,India,West Bengal,Howrah,Asia/Calcutta,61.063,2.533,14.0,19.822,34.225,29.195,47.812,37.903,61.0,22.5897,88.2636
26,59.89.138.53,India,Uttar Pradesh,Kanpur,Asia/Calcutta,61.889,3.533,14.0,20.554,31.753,25.183,40.106,33.21,125.0,26.4456,80.3378
27,117.201.40.85,India,Tamil Nadu,Chennai,Asia/Calcutta,58.119,0.213,6.0,16.862,34.489,30.489,42.831,36.23,128.0,13.0674,80.2376
28,117.215.11.69,India,Karnataka,Pune,Asia/Calcutta,62.708,1.251,10.0,17.272,29.959,26.84,36.103,32.168,91.0,18.5296,73.8757
29,117.215.11.230,India,Karnataka,Pune,Asia/Calcutta,60.712,1.242,13.0,16.756,35.956,31.937,42.113,38.372,93.0,18.5038,73.8206
30,59.91.188.193,India,Rajasthan,Jaipur,Asia/Calcutta,59.719,2.242,6.0,18.758,31.471,25.151,41.948,35.334,75.0,26.9124,75.7873
31,117.221.203.171,India,Telangana,Hyderabad,Asia/Calcutta,68.642,6.541,6.0,23.313,38.422,32.979,51.169,40.64,57.0,8.2219,81.942
32,59.89.153.30,India,Punjab,Pathankot,Asia/Calcutta,66.933,-1.0,6.0,24.547,39.103,33.758,53.703,42.676,50.0,32.0,75.65
33,59.89.204.144,India,National Capital Territory of Delhi,New Delhi,Asia/Calcutta,135.523,24.3,5.0,70.359,84.428,78.612,93.756,86.519,106.0,28.6042,77.2044
34,59.89.189.120,India,Himachal Pradesh,Kangra,Asia/Calcutta,128.36,23.144,10.0,36.079,65.729,57.986,78.0,66.249,115.0,32.0833,76.7833
35,117.218.68.182,India,Tamil Nadu,Chennai,Asia/Calcutta,72.305,9.643,6.0,25.51,37.923,30.754,49.63,40.816,81.0,13.057,80.2499
36,59.91.205.36,India,Punjab,Hoshiarpur,Asia/Calcutta,140.341,38.036,10.0,44.305,80.655,77.298,89.535,85.247,82.0,31.5347,75.9212
37,117.213.83.86,India,Kerala,Kannur,Asia/Calcutta,76.103,12.262,6.0,28.882,46.176,40.372,55.302,47.245,86.0,11.8745,75.3704
38,117.205.234.226,India,Kerala,Kozhikode,Asia/Calcutta,71.156,8.928,6.0,27.295,41.518,37.103,53.705,46.852,70.0,11.2588,75.7804
39,59.98.44.139,India,Tamil Nadu,Dindigul,Asia/Calcutta,64.669,3.374,6.0,19.193,33.875,27.742,43.189,34.001,60.0,10.3833,77.9925
40,117.196.194.166,India,Tamil Nadu,Madurai,Asia/Calcutta,67.094,8.089,7.0,24.579,36.602,31.256,44.351,37.143,73.0,9.919,78.1193
41,117.213.131.221,India,Tamil Nadu,Hosur,Asia/Calcutta,67.807,8.833,13.0,25.089,40.387,36.76,49.085,42.924,118.0,12.7469,77.825
42,117.225.18.2,India,Uttar Pradesh,Lucknow,Asia/Calcutta,95.095,100.114,6.0,45.711,88.387,81.504,97.995,91.25,114.0,26.85,80.9499
43,117.212.161.134,India,Maharashtra,Ahmadpur,Asia/Calcutta,65.519,4.703,6.0,22.148,37.688,32.687,43.772,39.923,128.0,24.1011,87.7269
44,117.234.158.99,India,Punjab,Kanpur,Asia/Calcutta,69.42,10.494,6.0,27.671,42.135,37.795,50.639,44.342,59.0,26.4393,80.3299
45,59.97.82.240,India,Maharashtra,Jaipur,Asia/Calcutta,88.928,71.497,4.0,57.545,77.503,73.761,87.574,80.614,62.0,26.8957,75.8033
46,117.217.205.109,India,Kerala,Kochi,Asia/Calcutta,76.09,13.643,6.0,33.303,49.983,43.858,63.51,53.143,118.0,9.9033,76.2325
47,59.92.81.65,India,Tamil Nadu,Tirunelveli,Asia/Calcutta,61.979,2.6,6.0,19.079,30.184,26.108,37.244,33.288,68.0,8.73,77.73
48,117.205.85.245,India,Karnataka,Bengaluru,Asia/Calcutta,62.033,2.599,6.0,18.538,31.224,25.743,39.362,34.237,81.0,12.9716,77.5946
49,59.92.168.165,India,Kerala,Thiruvananthapuram,Asia/Calcutta,67.49,4.92,6.0,24.334,34.914,28.947,47.301,38.465,92.0,8.5241,76.9366
50,117.205.196.78,India,Kerala,Kozhikode,Asia/Calcutta,65.713,8.95,7.0,25.11,41.739,36.286,51.918,45.255,109.0,11.2679,75.7687
51,117.194.253.150,India,West Bengal,Howrah,Asia/Calcutta,63.879,3.33,6.0,19.186,38.607,32.9,49.419,39.49,73.0,22.5952,88.2644
52,117.195.48.85,India,Maharashtra,Nashik,Asia/Calcutta,63.469,2.166,6.0,17.921,36.807,33.272,43.139,39.249,118.0,19.9975,73.7898
53,59.93.239.20,India,Kerala,Tirur,Asia/Calcutta,64.871,2.143,6.0,18.654,34.886,28.004,47.865,36.501,87.0,10.9167,75.9833
54,117.220.241.9,India,Maharashtra,Pune,Asia/Calcutta,61.625,2.146,7.0,18.7,34.822,29.261,45.939,39.168,118.0,18.5665,73.8629
55,117.217.108.61,India,Maharashtra,Pune,Asia/Calcutta,64.758,2.591,6.0,18.365,30.776,26.536,38.409,32.707,110.0,18.569,73.7971
56,117.239.107.51,India,Tamil Nadu,Coimbatore,Asia/Calcutta,68.284,8.021,6.0,22.031,38.596,32.969,52.113,43.217,69.0,11.0242,76.9511
57,117.211.62.220,India,Kerala,Kollam,Asia/Calcutta,60.663,3.123,6.0,18.925,33.472,26.426,45.628,34.616,114.0,8.88,76.6
58,117.225.35.251,India,Rajasthan,Lucknow,Asia/Calcutta,66.566,9.132,7.0,25.917,37.449,33.515,47.085,40.439,101.0,26.8457,80.9672
59,59.92.168.185,India,Kerala,Thiruvananthapuram,Asia/Calcutta,73.636,14.822,6.0,33.052,45.737,37.913,54.559,47.566,76.0,8.5327,76.922
60,117.217.11.182,India,Sikkim,Gangtok,Asia/Calcutta,62.071,2.648,6.0,18.587,32.667,25.486,44.632,34.035,60.0,27.3389,88.6133
61,117.215.71.202,India,Tamil Nadu,Coimbatore,Asia/Calcutta,61.966,2.552,7.0,19.032,34.938,30.151,49.379,39.828,104.0,11.0548,76.979
62,117.199.67.238,India,Manipur,Imphal,Asia/Calcutta,67.028,5.75,6.0,22.875,40.133,35.905,54.104,46.657,50.0,24.8176,93.9368
63,117.214.37.196,India,Jharkhand,Jamshedpur,Asia/Calcutta,68.262,7.061,6.0,23.117,36.791,29.949,43.022,37.947,120.0,22.8169,86.2147
64,117.217.209.136,India,Andhra Pradesh,Palkonda,Asia/Calcutta,108.339,37.295,9.0,38.351,68.091,64.712,81.194,72.915,77.0,13.7778,79.2597
65,59.97.18.246,India,Maharashtra,Bengaluru,Asia/Calcutta,62.325,2.938,7.0,18.779,31.302,26.335,41.04,34.222,52.0,12.9608,77.5823
66,117.213.251.63,India,Karnataka,Bengaluru,Asia/Calcutta,66.053,5.972,6.0,21.628,37.386,33.859,48.473,41.883,50.0,12.9727,77.6269
67,117.237.241.211,India,Assam,Bhubaneswar,Asia/Calcutta,71.803,9.613,6.0,26.87,38.998,35.251,51.869,43.858,109.0,20.2961,85.8189
68,117.198.29.48,India,Maharashtra,Pune,Asia/Calcutta,75.239,15.579,10.0,48.564,48.522,41.992,53.569,46.752,124.0,18.6127,73.9085
69,117.196.189.19,India,Madhya Pradesh,Indore,Asia/Calcutta,62.439,3.058,7.0,19.612,37.81,30.298,46.023,36.337,81.0,22.7196,75.8577
70,117.197.151.137,India,Jharkhand,Jamshedpur,Asia/Calcutta,70.339,6.078,6.0,25.942,37.008,29.525,49.808,38.409,101.0,22.8131,86.2248
71,117.222.126.69,India,Maharashtra,Nagpur,Asia/Calcutta,62.445,3.002,7.0,19.464,36.992,30.811,49.347,39.893,99.0,21.3137,88.3313
72,117.223.94.46,India,Kerala,Kozhikode,Asia/Calcutta,67.987,6.017,6.0,25.284,42.922,34.938,51.873,44.892,102.0,11.2972,75.7804
73,117.251.37.55,India,Tamil Nadu,Vellore,Asia/Calcutta,69.652,5.701,6.0,22.666,42.15,36.292,48.446,41.737,121.0,12.9167,79.1333
74,61.0.127.127,India,Tamil Nadu,Dindigul,Asia/Calcutta,66.353,10.355,6.0,24.622,42.959,35.931,56.544,45.236,128.0,10.4022,78.0068
75,117.198.97.159,India,Karnataka,Bengaluru,Asia/Calcutta,74.59,125.165,6.0,113.51,113.197,107.562,126.008,115.711,104.0,12.9593,77.587
76,59.88.200.255,India,Karnataka,Bengaluru,Asia/Calcutta,114.722,37.342,10.0,32.628,64.134,57.368,70.723,63.945,96.0,12.9707,77.5727
77,59.88.200.0,India,Andhra Pradesh,Visakhapatnam,Asia/Calcutta,82.659,20.344,8.0,36.07,49.886,45.298,62.403,53.997,100.0,17.6869,83.2185
78,117.234.131.138,India,Uttar Pradesh,Kanpur,Asia/Calcutta,66.683,9.344,7.0,25.79,38.816,34.382,51.948,41.719,112.0,26.4322,80.3337
79,117.225.31.58,India,National Capital Territory of Delhi,Delhi,Asia/Calcutta,65.594,7.137,6.0,25.551,41.452,36.144,46.812,40.228,83.0,28.6448,77.2167
80,59.99.48.250,India,Kerala,Pathanamthitta,Asia/Calcutta,66.898,7.905,7.0,21.08,35.757,28.329,45.742,36.5,63.0,9.266,76.6363
81,117.252.221.11,India,Kerala,Kozhikode,Asia/Calcutta,197.82,116.817,8.0,82.936,141.797,136.428,148.084,143.211,120.0,11.2827,75.8004
82,59.94.51.0,India,Maharashtra,Mumbai,Asia/Calcutta,68.397,7.445,6.0,24.471,40.042,36.314,50.282,42.241,102.0,19.076,72.8774
83,117.223.81.137,India,Kerala,Kozhikode,Asia/Calcutta,65.649,6.287,7.0,22.878,41.322,36.726,51.47,42.587,54.0,11.2097,75.8102
84,210.212.102.93,India,Uttar Pradesh,Meerut,Asia/Calcutta,69.281,9.798,6.0,27.387,40.298,37.175,47.542,43.509,105.0,28.9845,77.7064
85,117.223.178.8,India,Kerala,Kozhikode,Asia/Calcutta,67.872,-1.0,6.0,23.891,37.057,33.095,43.153,38.299,78.0,11.326,75.804
86,117.246.175.189,India,Andhra Pradesh,Nellore,Asia/Calcutta,67.898,8.31,6.0,26.592,43.318,37.995,54.502,47.381,87.0,14.4426,79.9864
87,59.93.167.33,India,Manipur,Bishnupur,Asia/Calcutta,72.613,10.324,14.0,24.791,45.814,41.073,58.161,47.688,66.0,23.2494,87.3144
88,117.212.95.162,India,Rajasthan,Taranagar,Asia/Calcutta,65.238,7.574,7.0,21.617,37.652,29.902,43.878,38.59,57.0,28.3,75.8
89,59.93.35.141,India,Andhra Pradesh,Kadapa,Asia/Calcutta,68.41,6.992,6.0,22.99,42.345,35.471,48.32,43.342,88.0,14.4667,78.8233
90,117.222.76.56,India,Gujarat,Ahmedabad,Asia/Calcutta,64.836,8.155,6.0,24.699,36.189,31.662,41.198,36.067,65.0,23.0225,72.5714
91,117.228.177.71,India,Madhya Pradesh,Mumbai,Asia/Calcutta,70.239,7.919,6.0,27.901,38.03,30.266,48.16,40.975,74.0,19.0879,72.8614
92,59.96.198.9,India,Kerala,Malappuram,Asia/Calcutta,69.165,9.509,7.0,26.626,39.271,35.151,47.71,40.309,96.0,11.1096,76.0641
93,117.247.149.35,India,Gujarat,Ahmedabad,Asia/Calcutta,66.67,7.141,6.0,24.322,36.621,32.418,48.115,40.763,54.0,23.0271,72.574
94,117.192.123.189,India,Karnataka,Udupi,Asia/Calcutta,68.627,9.521,6.0,24.657,42.912,34.914,56.854,43.905,123.0,13.34,74.7433
95,117.224.71.219,India,Himachal Pradesh,Shimla,Asia/Calcutta,69.206,9.783,6.0,27.39,42.186,36.049,54.749,45.112,123.0,31.1048,77.17
96,117.245.97.222,India,Telangana,Hyderabad,Asia/Calcutta,70.095,7.749,6.0,25.212,43.947,36.578,53.694,45.832,58.0,34.2949,91.0399
97,61.2.198.6,India,Telangana,Hyderabad,Asia/Calcutta,69.827,11.165,6.0,26.869,40.484,32.96,50.125,41.035,110.0,19.9706,78.6509
98,117.205.41.188,India,Karnataka,Delhi,Asia/Calcutta,68.07,9.837,7.0,29.306,39.41,33.672,48.313,39.397,73.0,28.6339,77.2262
99,117.195.153.27,India,Karnataka,Belgaum,Asia/Calcutta,67.453,9.647,7.0,25.964,40.667,34.041,53.929,45.523,62.0,15.8496,74.4977
100,117.220.66.240,India,Haryana,Faridabad,Asia/Calcutta,65.596,4.054,6.0,24.632,36.46,32.468,47.684,38.218,111.0,28.4089,77.3178
101,61.3.129.117,India,Kerala,Kochi,Asia/Calcutta,65.878,8.483,6.0,20.961,41.527,34.567,50.86,42.102,86.0,9.9888,76.2267
102,117.248.32.204,India,Tamil Nadu,Dharmapuri,Asia/Calcutta,71.548,10.496,6.0,26.623,40.028,32.642,47.143,38.992,73.0,11.75,77.5
103,117.213.34.39,India,Kerala,Kozhikode,Asia/Calcutta,69.446,5.884,6.0,23.471,40.893,36.861,50.649,44.353,95.0,11.1528,75.759
104,117.226.189.172,India,West Bengal,Kolkata,Asia/Calcutta,70.363,10.154,6.0,26.863,43.915,36.936,51.96,42.67,94.0,22.5687,88.3799
105,117.213.37.235,India,Kerala,Palakkad,Asia/Calcutta,67.173,6.115,6.0,23.673,38.015,30.613,47.059,39.036,94.0,10.7769,76.6546
106,59.94.23.25,India,Kerala,Kolkata,Asia/Calcutta,70.603,10.502,7.0,28.984,43.502,35.843,56.903,45.057,121.0,22.5856,88.3522
107,117.252.233.129,India,Andaman and Nicobar,Port Blair,Asia/Calcutta,70.256,10.257,7.0,26.887,44.559,37.007,54.397,45.914,62.0,11.6667,92.75
108,117.216.229.216,India,Kerala,Idukki,Asia/Calcutta,68.138,10.412,7.0,26.672,39.371,35.978,46.133,40.982,69.0,9.9833,76.9167
109,59.89.39.155,India,National Capital Territory of Delhi,Delhi,Asia/Calcutta,67.424,9.896,6.0,26.314,43.259,36.122,50.575,41.493,128.0,28.6162,77.2232
110,59.97.125.113,India,Tamil Nadu,Salem,Asia/Calcutta,67.098,8.141,6.0,26.05,36.404,31.531,50.314,39.008,98.0,11.6643,78.146
111,117.206.117.179,India,Kerala,Alappuzha,Asia/Calcutta,65.414,5.937,7.0,23.459,38.142,32.501,50.239,42.396,120.0,9.4981,76.3388
112,117.234.162.153,India,Uttarakhand,Haldwani,Asia/Calcutta,67.192,3.973,6.0,23.015,39.681,35.123,53.222,42.587,94.0,29.2192,79.5215
113,117.251.53.212,India,Kerala,Pathanamthitta,Asia/Calcutta,68.964,9.752,7.0,26.023,37.181,30.576,48.516,40.051,92.0,9.27,76.6253
114,117.230.81.250,India,Kerala,Thrissur,Asia/Calcutta,66.443,6.871,7.0,22.908,38.19,32.174,46.21,40.579,56.0,10.527,76.2144
115,59.93.101.252,India,Karnataka,Bengaluru,Asia/Calcutta,69.433,9.572,6.0,27.696,40.74,36.678,48.325,42.271,59.0,12.9057,77.6885
116,59.92.69.247,India,Tamil Nadu,Tirunelveli,Asia/Calcutta,69.143,10.856,6.0,25.76,41.147,36.589,55.882,46.886,98.0,8.7394,77.7357
117,117.200.223.237,India,Maharashtra,Pune,Asia/Calcutta,64.588,9.498,6.0,25.044,38.878,35.311,51.736,43.073,55.0,18.587,73.9658
118,117.201.7.242,India,Tamil Nadu,Nagercoil,Asia/Calcutta,70.794,7.861,6.0,23.732,36.851,31.032,45.51,38.145,55.0,8.1745,77.4322
119,117.234.231.145,India,Uttar Pradesh,Lucknow,Asia/Calcutta,66.144,6.732,6.0,25.613,37.864,33.657,46.348,41.951,50.0,26.8157,80.9548
120,117.228.192.83,India,Maharashtra,- - -,Asia/Calcutta,66.803,3.973,6.0,21.148,40.211,33.171,49.181,42.357,108.0,29.5707,91.7726
121,59.99.163.0,India,Rajasthan,Bhiwadi,Asia/Calcutta,65.34,6.678,6.0,27.685,37.977,32.855,44.09,37.037,93.0,28.2025,76.8583
122,117.212.54.193,India,Maharashtra,Pune,Asia/Calcutta,68.056,8.275,7.0,24.397,42.334,36.835,57.121,46.278,105.0,18.6074,73.9142
123,117.225.98.100,India,Punjab,Tanda,Asia/Calcutta,68.528,7.013,7.0,26.674,37.686,31.273,50.888,42.607,89.0,31.7,75.7
124,117.228.125.93,India,Gujarat,Mahesana,Asia/Calcutta,70.31,11.04,7.0,28.127,43.855,37.56,54.013,47.315,117.0,23.67,72.37
125,117.216.166.235,India,Karnataka,Mysore,Asia/Calcutta,64.022,3.582,6.0,21.308,39.152,32.287,45.793,39.18,84.0,12.2958,76.6394
126,117.234.37.187,India,National Capital Territory of Delhi,Lucknow,Asia/Calcutta,73.323,9.118,6.0,26.354,38.669,32.825,47.972,39.182,66.0,26.8904,80.8999
127,117.205.80.43,India,Rajasthan,Ajmer,Asia/Calcutta,64.957,7.822,6.0,20.665,40.217,33.006,52.133,43.152,113.0,26.4484,74.6399
128,61.1.111.8,India,Rajasthan,Udaipur,Asia/Calcutta,66.013,6.744,7.0,21.791,33.895,26.154,47.59,38.1,62.0,24.5854,73.7125
129,117.205.113.92,India,Tamil Nadu,Chennai,Asia/Calcutta,69.133,9.154,6.0,26.027,37.166,33.406,43.396,37.711,59.0,13.0859,80.2228
130,117.210.183.92,India,Kerala,Kollam,Asia/Calcutta,66.59,9.691,7.0,25.388,42.51,38.023,52.759,44.393,64.0,8.8908,76.6164
131,117.215.238.203,India,Punjab,Ludhiana,Asia/Calcutta,65.761,8.342,6.0,23.935,38.614,34.964,46.346,38.698,75.0,30.9,75.85
132,117.242.155.50,India,West Bengal,Kolkata,Asia/Calcutta,64.847,7.443,7.0,21.097,34.182,27.536,44.213,34.225,75.0,22.6317,88.331
133,117.210.201.85,India,Uttar Pradesh,Baraut,Asia/Calcutta,71.615,9.236,6.0,25.13,42.237,35.027,55.611,43.704,123.0,28.8333,77.2833
134,117.206.252.7,India,Telangana,Hyderabad,Asia/Calcutta,67.743,8.02,7.0,23.999,38.319,35.262,43.496,38.462,82.0,33.887,88.2253
135,117.196.196.131,India,Tamil Nadu,Madurai,Asia/Calcutta,68.005,4.19,6.0,25.249,39.113,34.533,51.725,42.09,65.0,9.9334,78.1342
136,117.234.244.177,India,Punjab,Baran,Asia/Calcutta,66.942,6.682,7.0,23.513,34.619,26.956,43.438,35.488,86.0,25.1,76.5
137,61.1.206.18,India,Kerala,Malappuram,Asia/Calcutta,67.68,6.593,6.0,22.489,37.551,33.153,50.401,40.765,122.0,11.0604,76.0693
