ADDRESS,STATE,CITY,latitude,longitude
103.60.156.2,Madhya Pradesh,Bhopal,23.2599,77.4126
164.164.15.33,Karnataka,Bengaluru,12.9716,77.5946
152.52.179.154,Karnataka,Bengaluru,12.9716,77.5946
152.58.179.154,West Bengal,Kolkata,22.5643,88.3693
103.211.135.36,West Bengal,Kolkata,22.5643,88.3693
103.60.156.2,Madhya Pradesh,Bhopal,23.2599,77.4126
69.69.69.69,New York,New York,40.7128,-74.006
45.248.159.2,Punjab,Mohali,30.674,76.7249
103.149.148.151,West Bengal,Kolkata,22.5702,88.4364
14.194.176.204,West Bengal,Kolkata,22.5643,88.3693
